Date,Net_Sales,Day_No,Month_No,Week_Day,Week_No,Week_No_Mon
12/6/2013,3447347,6,12,6,49,1
12/7/2013,3033952,7,12,7,49,1
12/8/2013,3208390,8,12,1,50,2
12/9/2013,3035006,9,12,2,50,2
12/10/2013,3051542,10,12,3,50,2
12/11/2013,3167839,11,12,4,50,2
12/12/2013,3368178,12,12,5,50,2
12/13/2013,3809742,13,12,6,50,2
12/14/2013,3298257,14,12,7,50,2
12/15/2013,3677195,15,12,1,51,3
12/16/2013,3624795,16,12,2,51,3
12/17/2013,3322898,17,12,3,51,3
12/18/2013,3598311,18,12,4,51,3
12/19/2013,2994875,19,12,5,51,3
12/20/2013,3809464,20,12,6,51,3
12/21/2013,3479316,21,12,7,51,3
12/22/2013,3271566,22,12,1,52,4
12/23/2013,3030619,23,12,2,52,4
12/24/2013,3329608,24,12,3,52,4
12/25/2013,3025469,25,12,4,52,4
12/26/2013,3192042,26,12,5,52,4
12/27/2013,3645866,27,12,6,52,4
12/28/2013,3706523,28,12,7,52,4
12/29/2013,3414132,29,12,1,1,1
12/30/2013,3302107,30,12,2,1,1
12/31/2013,2967562,31,12,3,1,1
1/1/2014,2859551,1,1,4,1,1
1/2/2014,3153492,2,1,5,1,1
1/3/2014,3219569,3,1,6,1,1
1/4/2014,3076457,4,1,7,1,1
1/5/2014,3644471,5,1,1,2,2
1/6/2014,3306175,6,1,2,2,2
1/7/2014,3041621,7,1,3,2,2
1/8/2014,3033938,8,1,4,2,2
1/9/2014,3353621,9,1,5,2,2
1/10/2014,4131982,10,1,6,2,2
1/11/2014,3565538,11,1,7,2,2
1/12/2014,3307440,12,1,1,3,3
1/13/2014,2867261,13,1,2,3,3
1/14/2014,2427450,14,1,3,3,3
1/15/2014,2428145,15,1,4,3,3
1/16/2014,2689784,16,1,5,3,3
1/17/2014,3042332,17,1,6,3,3
1/18/2014,3094178,18,1,7,3,3
1/19/2014,3254985,19,1,1,4,4
1/20/2014,3198087,20,1,2,4,4
1/21/2014,3166862,21,1,3,4,4
1/22/2014,3313676,22,1,4,4,4
1/23/2014,3381538,23,1,5,4,4
1/24/2014,3710335,24,1,6,4,4
1/25/2014,3243114,25,1,7,4,4
1/26/2014,3103219,26,1,1,5,5
1/27/2014,2577065,27,1,2,5,5
1/28/2014,2904797,28,1,3,5,5
1/29/2014,2814830,29,1,4,5,5
1/30/2014,3006621,30,1,5,5,5
1/31/2014,3753406,31,1,6,5,5
2/1/2014,3532551,1,2,7,5,1
2/2/2014,3181371,2,2,1,6,2
2/3/2014,3254701,3,2,2,6,2
2/4/2014,2728186,4,2,3,6,2
2/5/2014,3155018,5,2,4,6,2
2/6/2014,3361875,6,2,5,6,2
2/7/2014,3987744,7,2,6,6,2
2/8/2014,3596198,8,2,7,6,2
2/9/2014,3973086,9,2,1,7,3
2/10/2014,2977792,10,2,2,7,3
2/11/2014,2934105,11,2,3,7,3
2/12/2014,3164579,12,2,4,7,3
2/13/2014,3439221,13,2,5,7,3
2/14/2014,3782143,14,2,6,7,3
2/15/2014,3377138,15,2,7,7,3
2/16/2014,3573255,16,2,1,8,4
2/17/2014,2894049,17,2,2,8,4
2/18/2014,2843184,18,2,3,8,4
2/19/2014,3233306,19,2,4,8,4
2/20/2014,5412839,20,2,5,8,4
2/21/2014,1377284,21,2,6,8,4
2/22/2014,3908764,22,2,7,8,4
2/23/2014,3869028,23,2,1,9,5
2/24/2014,3299909,24,2,2,9,5
2/25/2014,3303587,25,2,3,9,5
2/26/2014,3377401,26,2,4,9,5
2/27/2014,3129896,27,2,5,9,5
2/28/2014,4279951,28,2,6,9,5
3/1/2014,3282706,1,3,7,9,1
3/2/2014,3745940,2,3,1,10,2
3/3/2014,3114536,3,3,2,10,2
3/4/2014,2875700,4,3,3,10,2
3/5/2014,2989076,5,3,4,10,2
3/6/2014,3076387,6,3,5,10,2
3/7/2014,3661586,7,3,6,10,2
3/8/2014,3388896,8,3,7,10,2
3/9/2014,3640244,9,3,1,11,3
3/10/2014,2781286,10,3,2,11,3
3/11/2014,3094062,11,3,3,11,3
3/12/2014,3017576,12,3,4,11,3
3/13/2014,3408111,13,3,5,11,3
3/14/2014,3648254,14,3,6,11,3
3/15/2014,3507153,15,3,7,11,3
3/16/2014,2896359,16,3,1,12,4
3/17/2014,2522615,17,3,2,12,4
3/18/2014,2919404,18,3,3,12,4
3/19/2014,2697889,19,3,4,12,4
3/20/2014,3080990,20,3,5,12,4
3/21/2014,3503466,21,3,6,12,4
3/22/2014,3471400,22,3,7,12,4
3/23/2014,3029049,23,3,1,13,5
3/24/2014,2867925,24,3,2,13,5
3/25/2014,2773894,25,3,3,13,5
3/26/2014,3273914,26,3,4,13,5
3/27/2014,2956916,27,3,5,13,5
3/28/2014,3710430,28,3,6,13,5
3/29/2014,3841156,29,3,7,13,5
3/30/2014,3963148,30,3,1,14,6
3/31/2014,3066890,31,3,2,14,6
4/1/2014,2525449,1,4,3,14,1
4/2/2014,2488844,2,4,4,14,1
4/3/2014,2651906,3,4,5,14,1
4/4/2014,3542794,4,4,6,14,1
4/5/2014,3188635,5,4,7,14,1
4/6/2014,2902527,6,4,1,15,2
4/7/2014,2957983,7,4,2,15,2
4/8/2014,3532702,8,4,3,15,2
4/9/2014,3044751,9,4,4,15,2
4/10/2014,3105589,10,4,5,15,2
4/11/2014,3810250,11,4,6,15,2
4/12/2014,3286766,12,4,7,15,2
4/13/2014,3189634,13,4,1,16,3
4/14/2014,3082110,14,4,2,16,3
4/15/2014,2828713,15,4,3,16,3
4/16/2014,3278804,16,4,4,16,3
4/17/2014,3512346,17,4,5,16,3
4/18/2014,3261777,18,4,6,16,3
4/19/2014,3255468,19,4,7,16,3
4/20/2014,3350318,20,4,1,17,4
4/21/2014,3232556,21,4,2,17,4
4/22/2014,2874591,22,4,3,17,4
4/23/2014,3365612,23,4,4,17,4
4/24/2014,3275016,24,4,5,17,4
4/25/2014,3371351,25,4,6,17,4
4/26/2014,3806415,26,4,7,17,4
4/27/2014,3385851,27,4,1,18,5
4/28/2014,2825198,28,4,2,18,5
4/29/2014,2977309,29,4,3,18,5
4/30/2014,3818921,30,4,4,18,5
5/1/2014,3164954,1,5,5,18,1
5/2/2014,3400848,2,5,6,18,1
5/3/2014,3270413,3,5,7,18,1
5/4/2014,3341567,4,5,1,19,2
5/5/2014,3097537,5,5,2,19,2
5/6/2014,2835620,6,5,3,19,2
5/7/2014,3214868,7,5,4,19,2
5/8/2014,3179751,8,5,5,19,2
5/9/2014,3756485,9,5,6,19,2
5/10/2014,3460047,10,5,7,19,2
5/11/2014,3670952,11,5,1,20,3
5/12/2014,3284777,12,5,2,20,3
5/13/2014,2864858,13,5,3,20,3
5/14/2014,3232798,14,5,4,20,3
5/15/2014,3396054,15,5,5,20,3
